cycle_id,day,start_time,run_mode,fwd_torque_max,fwd_torque_mean,fwd_torque_std,fwd_velocity_max,fwd_duration,settle_torque_mean,settle_torque_std,settle_duration,ret_torque_min,ret_torque_mean,ret_torque_std,ret_velocity_min,ret_duration,total_duration
0,Apr 24,2026-04-24 10:07:37.739,0.0,0.02944,0.02528,0.003180742051786029,83.832741,6,0.028817297297297303,0.014173198652633206,185,-0.1216,-0.06460900284900285,0.03135761486697778,-502.977371,351,640
1,Apr 24,2026-04-24 10:08:33.675,0.0,0.03136,0.02656,0.0031288080797645607,86.929798,6,0.03475911111111111,0.011251554096946954,180,-0.1248,-0.06512319088319089,0.031001395564265018,-503.402948,351,634
2,Apr 24,2026-04-24 10:09:11.465,0.0,0.03072,0.02549333333333333,0.0030937011275601056,84.246397,6,0.03583636363636364,0.011612176681084713,176,-0.12736,-0.0650112,0.031745320242440915,-503.276587,350,628
3,Apr 24,2026-04-24 10:09:49.379,0.0,,,,,0,0.03642450867052023,0.01134436651588473,173,-0.12544,-0.0656595988538682,0.030919890351986196,-503.522158,349,618
4,Apr 24,2026-04-24 10:10:27.119,0.0,,,,,0,0.03660947976878613,0.010674716611123033,173,-0.12544,-0.06530377142857142,0.03123275074757148,-503.321886,350,619
5,Apr 24,2026-04-24 10:11:04.994,0.0,,,,,0,0.03876624277456647,0.010512462055845988,173,-0.12096,-0.06528182857142857,0.030923812860065285,-503.175259,350,619
6,Apr 24,2026-04-24 10:11:42.684,0.0,,,,,0,0.036979421965317914,0.011879822727466365,173,-0.12096,-0.06570240000000001,0.03081000263580544,-503.387451,350,619
7,Apr 24,2026-04-24 10:12:20.430,0.0,,,,,0,0.03889942196531792,0.01092452211242504,173,-0.1248,-0.06535518624641834,0.031538748067016745,-503.013134,349,618
8,Apr 24,2026-04-24 10:12:58.188,0.0,,,,,0,0.03745294797687861,0.012083891977697972,173,-0.12224,-0.0651264,0.03172114307894589,-503.547192,350,619
9,Apr 24,2026-04-24 10:13:36.240,0.0,,,,,0,0.037881379310344826,0.010931857794972993,174,-0.1248,-0.06583954285714284,0.0313940654661879,-503.293276,350,620
10,Apr 24,2026-04-24 10:14:14.581,0.0,,,,,0,0.029346516853932584,0.016058988373280576,178,-0.12096,-0.06556891428571429,0.030402652622705965,-503.42679,350,624
11,Apr 24,2026-04-24 10:18:03.721,0.0,,,,,0,0.03204622222222222,0.012984243702709331,180,-0.12288,-0.06556891428571428,0.031202376561983894,-503.094196,350,627
12,Apr 24,2026-04-24 10:18:41.823,0.0,,,,,0,0.03437920903954802,0.012700144659444907,177,-0.12736,-0.06670120343839542,0.030809410335386832,-502.941608,349,622
13,Apr 24,2026-04-24 10:19:19.623,0.0,,,,,0,0.0354876404494382,0.01131018420351546,178,-0.1216,-0.0651424641833811,0.03145984354664398,-502.628088,349,623
14,Apr 24,2026-04-24 10:19:57.430,0.0,,,,,0,0.03610606741573034,0.010478934005600689,178,-0.12352,-0.065483553008596,0.031868228854587455,-502.715111,349,623
15,Apr 24,2026-04-24 10:20:35.224,0.0,,,,,0,0.03872688172043011,0.00975732461985793,186,-0.12608,-0.06571277936962751,0.03144269486472742,-502.537489,349,631
16,Apr 24,2026-04-24 10:21:13.189,0.0,,,,,0,0.0237280686695279,0.004759212636286521,7922,-0.12352,-0.06731519999999999,0.03215472343774964,-502.907038,350,8370
17,Apr 24,2026-04-24 10:22:23.014,0.0,,,,,0,0.020715532994923853,0.005030126260800133,7092,-0.12608,-0.06682985754985754,0.032926964334195216,-502.564907,351,7542
18,Apr 24,2026-04-24 10:23:52.055,0.0,0.03136,0.02656,0.00441089560066887,86.890459,6,0.03549186813186814,0.01071422866744573,182,-0.12416,-0.06640274285714286,0.03147285453208643,-502.269268,350,636
19,Apr 24,2026-04-24 10:24:30.065,0.0,,,,,0,0.03292483516483516,0.013061891037919878,182,-0.12544,-0.0662016,0.031440233996664915,-502.535105,350,630
20,Apr 24,2026-04-24 10:25:41.875,0.0,,,,,0,0.03691262569832402,0.010775995343876412,179,-0.12416,-0.06624273504273505,0.03141383588595313,-503.469706,351,628
21,Apr 24,2026-04-24 10:26:19.769,0.0,,,,,0,0.03620158192090395,0.010633299634622888,177,-0.12096,-0.06616389684813753,0.03137914152270537,-502.543449,349,624
22,Apr 24,2026-04-24 10:26:57.536,0.0,,,,,0,0.037741920903954805,0.01044419797251865,177,-0.12032,-0.06584664756446991,0.03183367192654001,-502.746105,349,624
23,Apr 24,2026-04-24 10:27:35.469,0.0,,,,,0,0.0376832,0.010169930380982113,175,-0.1184,-0.06609787965616046,0.03249000541417409,-502.430201,349,623
24,Apr 24,2026-04-24 10:28:13.233,0.0,,,,,0,0.034781818181818185,0.011388183805577181,176,-0.12032,-0.06649581661891119,0.0314670748146624,-502.309799,349,624
